inID,SQLDateTime,DateTime,TradeNum,OrderNum,UserID,TerminalID,CTCLID,AlgoID,AccountCode,MemberCode,ScripCode,Exchange,OptType,ExpiryDate,StrikePrice,ScripDescription,BuySellFlag,TradeQty,TradePrice,MainTradeID,SecurityType,ReferenceText,PendingQty,CustomID,Sender
3177999,20230711-09:15:41,20230711-09:15:41,2545869,301730,TG27,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,78.4,6,OPTIDX,19400 13a,0,12,s4
3178000,20230711-09:15:41,20230711-09:15:41,2545871,370236,TG27,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,78.4,7,OPTIDX,19400 13a,0,12,s4
3178001,20230711-09:15:41,20230711-09:15:41,2545874,531517,TG27,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,78.4,8,OPTIDX,19400 13a,0,12,s4
3178002,20230711-09:15:41,20230711-09:15:41,2545878,541885,TG27,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,78.4,9,OPTIDX,19400 13a,0,12,s4
3178004,20230711-09:15:41,20230711-09:15:41,2545883,858051,ETG11,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,78.45,11,OPTIDX,NSE CL,0,2,s4
3177995,20230711-09:15:41,20230711-09:15:41,2545889,569534,TG27,,45685,,GAC005,251545,53080,NSEFO,PE,13-Jul-23,19400,NIFTY,Buy,50,55.8,2,OPTIDX,19400 13a,0,13,s4
3177996,20230711-09:15:41,20230711-09:15:41,2545896,800480,TG27,,45685,,GAC005,251545,53080,NSEFO,PE,13-Jul-23,19400,NIFTY,Buy,50,55.8,3,OPTIDX,19400 13a,0,13,s4
3177997,20230711-09:15:41,20230711-09:15:41,2545904,618373,TG27,,45685,,GAC005,251545,53080,NSEFO,PE,13-Jul-23,19400,NIFTY,Buy,50,55.85,4,OPTIDX,19400 13a,0,13,s4
3177998,20230711-09:15:41,20230711-09:15:41,2545913,812013,TG27,,45685,,GAC005,251545,53080,NSEFO,PE,13-Jul-23,19400,NIFTY,Buy,50,55.85,5,OPTIDX,19400 13a,0,13,s4
3178003,20230711-09:15:41,20230711-09:15:41,2545923,881452,ETG11,,45685,,GAC005,251545,53080,NSEFO,PE,13-Jul-23,19400,NIFTY,Buy,50,55.8,10,OPTIDX,NSE CL,0,1,s4
3177994,20230711-09:15:41,20230711-09:15:41:1689,2545934,234711,TG27,,DF047,,GAC005,251545,16159,NSEIFSC,XX,27-Jul-23,-0.0001,NIFTY,Buy,1,19474.5,1,FUTIDX,19400 13a,0,11,s4
3178010,20230711-09:15:51,20230711-09:15:51,2545946,184739,TG27,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,200,79.4,17,OPTIDX,19400 13a,0,34,s4
3178012,20230711-09:15:51,20230711-09:15:51,2545959,217284,ETG11,,45685,,GAC005,251545,53079,NSEFO,CE,13-Jul-23,19400,NIFTY,Sell,50,79.6,19,OPTIDX,NSE CL,0,4,s4
